600000,10,NULL,NULL,0,NULL,NULL,0,3,NULL,NULL,leader,,1
600001,10,,,0,,,0,3,NULL,NULL,assistant_leader,Hilfssheriff,NULL
600002,10,unconfirmed,,0,,,0,,180,price_member,participant,,0
600003,10,applied,Gerne Vegi,0,,,0,,180,price_member,participant,,0
600004,10,rejected,,0,,,0,,180,price_member,participant,,0
600005,10,assigned,,0,,,0,,200,price_regular,participant,,0
600002,102,summoned,,0,,,0,3,180,price_member,participant,,0
600003,102,attended,,1,,,1,3,80,price_subsidized,participant,,0
600004,102,absent,,0,,,0,,180,price_member,participant,,0
600005,102,canceled,,0,2024-08-23,Keine Lust,0,,200,price_regular,participant,,0
699999,102,assigned,,0,,,0,20,180,price_member,participant,,0
600000,99999,assigned,,0,,,0,,180,price_member,participant,,0
600001,101,invalid,,0,,,0,,80,price_special,other,,0
